,marginal_conversions_t1,marginal_spend_t1,marginal_CAC_t1,marginal_conversions_t2,marginal_spend_t2,marginal_CAC_t2,marginal_conversions_t3,marginal_spend_t3,marginal_CAC_t3,marginal_conversions_t4,marginal_spend_t4,marginal_CAC_t4,marginal_conversions_t5,marginal_spend_t5,marginal_CAC_t5,marginal_conversions_t6,marginal_spend_t6,marginal_CAC_t6,marginal_conversions_t7,marginal_spend_t7,marginal_CAC_t7,marginal_conversions_t8,marginal_spend_t8,marginal_CAC_t8
bing,13.0,300.0,23.076923076923077,12.0,100.0,8.333333333333334,4.0,500.0,125.0,22.0,100.0,4.545454545454546,2.0,100.0,50.0,6.0,200.0,33.333333333333336,34.0,800.0,23.529411764705884,85.0,1600.0,18.823529411764707
display,4.0,12.0,3.0,-2.0,1.0,-0.5,8.0,6.0,0.75,13.0,1.0,0.07692307692307693,10.0,9.0,0.9,-3.0,2.0,-0.6666666666666666,81.0,63.0,0.7777777777777778,61.0,54.0,0.8852459016393442
facebook,1445.0,9000.0,6.228373702422146,758.0,1500.0,1.9788918205804749,-9.0,500.0,-55.55555555555556,734.0,2000.0,2.7247956403269753,-378.0,1000.0,-2.6455026455026456,783.0,2000.0,2.554278416347382,312.0,1000.0,3.2051282051282053,1171.0,6000.0,5.123825789923143
search,235.0,13000.0,55.319148936170215,327.0,5500.0,16.819571865443425,58.0,500.0,8.620689655172415,189.0,5000.0,26.455026455026456,57.0,1000.0,17.54385964912281,278.0,13000.0,46.76258992805755,-57.0,3000.0,-52.63157894736842,46.0,3000.0,65.21739130434783
youtube,1.0,90.0,90.0,0.0,10.0,inf,4.0,30.0,7.5,4.0,50.0,12.5,24.0,370.0,15.416666666666666,11.0,350.0,31.818181818181817,96.0,1520.0,15.833333333333334,142.0,1940.0,13.661971830985916
